# X(m) , Y(m), t_peak(s), peak_amp(micro-volt)
-1.242000007629394531e+01 -1.098999977111816406e+01 -3.524999237060547408e-08 9.022717043718157583e+02
3.099999904632568359e+00 -1.353999996185302734e+01 4.249996662139892687e-09 8.786356568513816683e+02
1.682999992370605469e+01 -8.149999618530273438e+00 3.874996948242187740e-08 8.882053055796267245e+02
2.070999908447265625e+01 2.029999971389770508e+00 4.825000762939453246e-08 9.111569881059115232e+02
1.243999958038330078e+01 1.101000022888183594e+01 2.775000381469726726e-08 9.028129665161030744e+02
-3.099999904632568359e+00 1.352999973297119141e+01 -1.174998664855957171e-08 9.071455623901176750e+02
-1.679000091552734375e+01 8.130000114440917969e+00 -4.624999237060547332e-08 9.153099899684394813e+02
-2.064999961853027344e+01 -2.019999980926513672e+00 -5.575000000000000621e-08 9.078794828192920932e+02
-2.597999954223632812e+01 -2.298999977111816406e+01 -7.075003814697265759e-08 9.844867664409148347e+02
6.489999771118164062e+00 -2.835000038146972656e+01 1.124999237060546928e-08 9.770978942077266538e+02
3.527999877929687500e+01 -1.707999992370605469e+01 8.375000000000000547e-08 9.719569388090618531e+02
4.341999816894531250e+01 4.260000228881835938e+00 1.042500000000000104e-07 1.015424463685722003e+03
2.606999969482421875e+01 2.307999992370605469e+01 6.024996185302735078e-08 1.065666683554847623e+03
-6.480000019073486328e+00 2.831999969482421875e+01 -2.225000953674316637e-08 1.087964213704031636e+03
-3.511000061035156250e+01 1.698999977111816406e+01 -9.425002288818359517e-08 1.054943371455304032e+03
-4.315999984741210938e+01 -4.230000019073486328e+00 -1.142500305175781294e-07 9.948931640143582626e+02
-4.445000076293945312e+01 -3.934000015258789062e+01 -1.162500305175781341e-07 1.275637809307035241e+03
1.111999988555908203e+01 -4.858000183105468750e+01 2.375000190734863272e-08 1.245193698626893820e+03
6.054999923706054688e+01 -2.930999946594238281e+01 1.482500000000000206e-07 1.272119295505371383e+03
7.455999755859375000e+01 7.309999942779541016e+00 1.837500000000000142e-07 1.359868730865352973e+03
4.472999954223632812e+01 3.959000015258789062e+01 1.082500076293945337e-07 1.453107659414883983e+03
-1.110000038146972656e+01 4.850000000000000000e+01 -3.275003433227539119e-08 1.492199044080619387e+03
-6.004000091552734375e+01 2.905999946594238281e+01 -1.562500457763672027e-07 1.454974190562967124e+03
-7.377999877929687500e+01 -7.230000019073486328e+00 -1.907500152587890652e-07 1.359455549051652497e+03
-6.779000091552734375e+01 -6.000000000000000000e+01 -1.737500000000000040e-07 1.570486613354558585e+03
1.698999977111816406e+01 -7.423999786376953125e+01 3.974997711181640697e-08 1.524749633308485500e+03
9.272000122070312500e+01 -4.486999893188476562e+01 2.307500000000000248e-07 1.582065574665649137e+03
1.142200012207031250e+02 1.119999980926513672e+01 2.852500000000000429e-07 1.710349427024679471e+03
6.844999694824218750e+01 6.058000183105468750e+01 1.697499542236328313e-07 1.824767802443220489e+03
-1.695000076293945312e+01 7.405999755859375000e+01 -4.574999618530273908e-08 1.882745827474915131e+03
-9.151000213623046875e+01 4.429000091552734375e+01 -2.337500000000000119e-07 1.821435925074324359e+03
-1.124000015258789062e+02 -1.102000045776367188e+01 -2.867499999999999968e-07 1.697489386723274947e+03
-9.594999694824218750e+01 -8.491999816894531250e+01 -2.432500000000000110e-07 1.649931133285690294e+03
2.411000061035156250e+01 -1.053499984741210938e+02 5.974999237060547509e-08 1.606751697378164181e+03
1.318699951171875000e+02 -6.381999969482421875e+01 3.312500000000000049e-07 1.693099645819062516e+03
1.625500030517578125e+02 1.593000030517578125e+01 4.087500000000000040e-07 1.842049848339104528e+03
9.727999877929687500e+01 8.609999847412109375e+01 2.442499847412109787e-07 1.960266219317997411e+03
-2.403000068664550781e+01 1.049899978637695312e+02 -6.174999237060546653e-08 2.014174666510286897e+03
-1.294499969482421875e+02 6.265000152587890625e+01 -3.277499694824218977e-07 1.964836103595169561e+03
-1.588800048828125000e+02 -1.556999969482421875e+01 -4.022499694824218832e-07 1.809584726631539297e+03
-1.288899993896484375e+02 -1.140699996948242188e+02 -3.242500000000000084e-07 1.392476418998514191e+03
3.247999954223632812e+01 -1.419299926757812500e+02 8.274996185302734711e-08 1.358315826302549112e+03
1.781199951171875000e+02 -8.620999908447265625e+01 4.502499389648437805e-07 1.441106977381136176e+03
2.197299957275390625e+02 2.154000091552734375e+01 5.552499389648437811e-07 1.554128154752624141e+03
1.312899932861328125e+02 1.161900024414062500e+02 3.317500000000000424e-07 1.652640677632203051e+03
-3.233000183105468750e+01 1.412799987792968750e+02 -8.074999237060547785e-08 1.710620231995109862e+03
-1.737299957275390625e+02 8.408000183105468750e+01 -4.377500000000000122e-07 1.679836465037720927e+03
-2.130899963378906250e+02 -2.088999938964843750e+01 -5.367499999999999855e-07 1.548072207880073620e+03
-1.665200042724609375e+02 -1.473800048828125000e+02 -4.172500000000000073e-07 9.212881491823038687e+02
4.209999847412109375e+01 -1.839900054931640625e+02 1.092500000000000022e-07 8.884475877531803008e+02
2.316199951171875000e+02 -1.120999984741210938e+02 5.872500000000000737e-07 9.552996052405162573e+02
2.859700012207031250e+02 2.803000068664550781e+01 7.242500000000000961e-07 1.029006104198638695e+03
1.705500030517578125e+02 1.509400024414062500e+02 4.332499694824218828e-07 1.080918658714944968e+03
-4.184999847412109375e+01 1.828999938964843750e+02 -1.027499923706054763e-07 1.124045849480409515e+03
-2.242500000000000000e+02 1.085299987792968750e+02 -5.627500000000000330e-07 1.116181433408902876e+03
